epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,0.911698,82.0000,0.450054,88.0000,1.99922904e-04,0.29
2,0.502214,94.7292,0.376479,89.0000,1.99691733e-04,0.34
3,0.441330,96.8646,0.313537,89.0000,1.99306846e-04,0.23
4,0.407010,98.0729,0.326584,90.0000,1.98768834e-04,0.23
5,0.388508,98.7292,0.359992,91.0000,1.98078528e-04,0.24
6,0.370610,99.3646,0.310564,92.0000,1.97236992e-04,0.23
7,0.357122,99.6354,0.340339,91.0000,1.96245524e-04,0.24
8,0.351648,99.6875,0.336661,90.0000,1.95105652e-04,0.22
9,0.342016,99.7188,0.314781,92.0000,1.93819134e-04,0.23
10,0.334806,99.7708,0.329511,92.0000,1.92387953e-04,0.23
11,0.328241,99.8333,0.308482,92.0000,1.90814317e-04,0.23
12,0.324324,99.8646,0.326976,92.0000,1.89100652e-04,0.24
13,0.320393,99.8646,0.322059,91.0000,1.87249601e-04,0.23
14,0.316516,99.8646,0.309569,92.0000,1.85264016e-04,0.23
15,0.314099,99.8229,0.304756,92.0000,1.83146961e-04,0.22
16,0.311288,99.8750,0.316314,92.0000,1.80901699e-04,0.23
17,0.308947,99.8542,0.315430,92.0000,1.78531693e-04,0.26
18,0.307363,99.8750,0.315243,92.0000,1.76040597e-04,0.22
19,0.306141,99.8750,0.329293,92.0000,1.73432251e-04,0.22
20,0.305029,99.8750,0.321703,92.0000,1.70710678e-04,0.25
21,0.303202,99.9062,0.313114,92.0000,1.67880075e-04,0.22
22,0.301905,99.8750,0.330229,92.0000,1.64944805e-04,0.23
23,0.301020,99.8646,0.312518,93.0000,1.61909395e-04,0.23
24,0.300391,99.8958,0.313789,92.0000,1.58778525e-04,0.23
25,0.298852,99.8750,0.316881,92.0000,1.55557023e-04,0.23
26,0.298893,99.8750,0.324460,92.0000,1.52249856e-04,0.22
27,0.298050,99.8750,0.347553,92.0000,1.48862124e-04,0.23
28,0.297241,99.9375,0.319453,92.0000,1.45399050e-04,0.23
29,0.297429,99.8646,0.315557,93.0000,1.41865974e-04,0.23
30,0.297228,99.8646,0.320465,92.0000,1.38268343e-04,0.22
31,0.296191,99.8750,0.322780,92.0000,1.34611706e-04,0.23
32,0.295936,99.8958,0.312061,92.0000,1.30901699e-04,0.23
33,0.295442,99.8646,0.317978,92.0000,1.27144045e-04,0.23
34,0.294822,99.9271,0.323914,92.0000,1.23344536e-04,0.23
35,0.294446,99.9271,0.318802,92.0000,1.19509032e-04,0.23
36,0.294532,99.8750,0.334671,92.0000,1.15643447e-04,0.23
37,0.293852,99.9062,0.321249,93.0000,1.11753740e-04,0.23
38,0.293533,99.9062,0.318424,93.0000,1.07845910e-04,0.24
39,0.293562,99.8958,0.329598,92.0000,1.03925982e-04,0.22
40,0.293278,99.8958,0.319590,93.0000,1.00000000e-04,0.23
41,0.293029,99.9062,0.319690,92.0000,9.60740184e-05,0.23
42,0.292843,99.8958,0.349117,92.0000,9.21540904e-05,0.23
43,0.292542,99.9167,0.320426,92.0000,8.82462603e-05,0.23
44,0.292531,99.9062,0.331213,92.0000,8.43565535e-05,0.23
45,0.292458,99.9062,0.325792,92.0000,8.04909678e-05,0.23
46,0.291890,99.9167,0.328742,92.0000,7.66554636e-05,0.23
47,0.291581,99.9375,0.331723,92.0000,7.28559550e-05,0.24
48,0.291458,99.9375,0.330136,92.0000,6.90983006e-05,0.23
49,0.291517,99.9167,0.322336,92.0000,6.53882943e-05,0.23
50,0.291255,99.9479,0.322155,92.0000,6.17316568e-05,0.23
51,0.291203,99.9583,0.331695,92.0000,5.81340262e-05,0.23
52,0.290963,99.9479,0.324648,92.0000,5.46009500e-05,0.23
53,0.291121,99.9062,0.323914,92.0000,5.11378759e-05,0.26
54,0.290866,99.9583,0.327059,92.0000,4.77501435e-05,0.28
55,0.290727,99.9375,0.332489,92.0000,4.44429767e-05,0.23
56,0.291001,99.9271,0.331733,92.0000,4.12214748e-05,0.24
57,0.290688,99.9375,0.329942,92.0000,3.80906051e-05,0.23
58,0.290669,99.9062,0.330316,92.0000,3.50551952e-05,0.23
59,0.290595,99.9271,0.338562,92.0000,3.21199254e-05,0.23
60,0.290572,99.9375,0.330967,92.0000,2.92893219e-05,0.23
61,0.290130,99.9583,0.334017,92.0000,2.65677491e-05,0.23
62,0.290275,99.9479,0.329539,92.0000,2.39594034e-05,0.23
63,0.290350,99.9375,0.328241,92.0000,2.14683069e-05,0.22
64,0.290234,99.9375,0.333466,92.0000,1.90983006e-05,0.23
65,0.290186,99.9479,0.335531,92.0000,1.68530388e-05,0.23
66,0.289986,99.9688,0.333440,92.0000,1.47359836e-05,0.23
67,0.289992,99.9583,0.330049,92.0000,1.27503993e-05,0.22
68,0.289835,99.9688,0.329101,92.0000,1.08993476e-05,0.23
69,0.289997,99.9688,0.328997,92.0000,9.18568262e-06,0.23
70,0.289875,99.9583,0.330850,92.0000,7.61204675e-06,0.22
71,0.289762,99.9688,0.328860,92.0000,6.18086641e-06,0.25
72,0.289741,99.9583,0.328449,92.0000,4.89434837e-06,0.23
73,0.289645,99.9792,0.331199,92.0000,3.75447635e-06,0.26
74,0.289799,99.9583,0.330049,92.0000,2.76300796e-06,0.24
75,0.289721,99.9479,0.330903,92.0000,1.92147196e-06,0.22
76,0.289650,99.9479,0.330664,92.0000,1.23116594e-06,0.22
77,0.289661,99.9479,0.331658,92.0000,6.93154305e-07,0.23
78,0.289743,99.9792,0.330892,92.0000,3.08266627e-07,0.22
79,0.289743,99.9792,0.330435,92.0000,7.70963759e-08,0.23
80,0.289673,99.9688,0.330462,92.0000,0.00000000e+00,0.23
