epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,0.898043,44.1146,0.425239,86.0000,1.99922904e-04,0.56
2,0.448942,50.5729,0.365925,89.0000,1.99691733e-04,0.20
3,0.304830,58.8958,0.283361,88.0000,1.99306846e-04,0.21
4,0.403290,49.9479,0.330017,90.0000,1.98768834e-04,0.20
5,0.351655,54.1562,0.332718,89.0000,1.98078528e-04,0.21
6,0.207193,60.1042,0.304901,91.0000,1.97236992e-04,0.21
7,0.310655,52.5521,0.306930,90.0000,1.96245524e-04,0.21
8,0.348307,58.2396,0.292619,91.0000,1.95105652e-04,0.21
9,0.350886,59.9375,0.283070,92.0000,1.93819134e-04,0.24
10,0.294701,57.8958,0.328606,91.0000,1.92387953e-04,0.22
11,0.262180,51.6667,0.248771,93.0000,1.90814317e-04,0.21
12,0.243652,61.7500,0.294663,92.0000,1.89100652e-04,0.21
13,0.222957,61.4375,0.284711,92.0000,1.87249601e-04,0.22
14,0.258721,58.2500,0.326538,91.0000,1.85264016e-04,0.21
15,0.237146,59.6250,0.309427,92.0000,1.83146961e-04,0.22
16,0.295025,52.1458,0.302492,91.0000,1.80901699e-04,0.21
17,0.284579,50.8542,0.302538,92.0000,1.78531693e-04,0.21
18,0.315116,55.2917,0.305593,92.0000,1.76040597e-04,0.20
19,0.237709,55.7604,0.268768,92.0000,1.73432251e-04,0.21
20,0.237163,48.7396,0.281054,92.0000,1.70710678e-04,0.20
21,0.242969,58.5938,0.282542,92.0000,1.67880075e-04,0.20
22,0.159686,53.4167,0.323808,92.0000,1.64944805e-04,0.21
23,0.199520,47.6771,0.289845,92.0000,1.61909395e-04,0.20
24,0.260093,52.1667,0.284905,90.0000,1.58778525e-04,0.21
25,0.242713,60.5521,0.280619,92.0000,1.55557023e-04,0.20
26,0.192368,57.6771,0.276417,92.0000,1.52249856e-04,0.21
27,0.262990,49.8854,0.305395,91.0000,1.48862124e-04,0.20
28,0.203807,45.9792,0.295714,91.0000,1.45399050e-04,0.20
29,0.254000,53.1146,0.283406,92.0000,1.41865974e-04,0.20
30,0.222287,62.5938,0.308813,92.0000,1.38268343e-04,0.21
31,0.230253,48.2396,0.307116,92.0000,1.34611706e-04,0.21
32,0.206826,65.0729,0.268920,92.0000,1.30901699e-04,0.20
33,0.170645,63.8854,0.303357,92.0000,1.27144045e-04,0.22
34,0.243773,56.7187,0.314894,92.0000,1.23344536e-04,0.22
35,0.210184,58.0521,0.301619,92.0000,1.19509032e-04,0.21
36,0.198268,47.6562,0.268443,93.0000,1.15643447e-04,0.21
37,0.231990,55.3021,0.281543,92.0000,1.11753740e-04,0.20
38,0.156942,53.2292,0.303355,92.0000,1.07845910e-04,0.20
39,0.172075,47.6458,0.320069,92.0000,1.03925982e-04,0.20
40,0.192982,59.8229,0.295580,93.0000,1.00000000e-04,0.23
41,0.191212,64.2708,0.275074,92.0000,9.60740184e-05,0.22
42,0.184700,54.4375,0.285358,92.0000,9.21540904e-05,0.20
43,0.166237,58.9271,0.268325,91.0000,8.82462603e-05,0.21
44,0.253222,56.7292,0.303792,92.0000,8.43565535e-05,0.20
45,0.214556,56.3125,0.296262,92.0000,8.04909678e-05,0.21
46,0.222647,51.9896,0.304339,92.0000,7.66554636e-05,0.22
47,0.197868,51.6458,0.295938,92.0000,7.28559550e-05,0.21
48,0.250824,55.5417,0.331678,92.0000,6.90983006e-05,0.20
49,0.229128,54.4271,0.280616,92.0000,6.53882943e-05,0.20
50,0.212388,56.3021,0.275157,92.0000,6.17316568e-05,0.21
51,0.235625,55.9375,0.289389,92.0000,5.81340262e-05,0.20
52,0.219288,47.5833,0.294920,92.0000,5.46009500e-05,0.20
53,0.260555,58.0521,0.277589,92.0000,5.11378759e-05,0.21
54,0.212167,65.8333,0.274392,92.0000,4.77501435e-05,0.21
55,0.285471,66.5625,0.281654,92.0000,4.44429767e-05,0.22
56,0.284435,50.7917,0.286555,92.0000,4.12214748e-05,0.21
57,0.274211,58.1667,0.299254,92.0000,3.80906051e-05,0.20
58,0.203160,58.9896,0.304744,92.0000,3.50551952e-05,0.20
59,0.154561,62.9167,0.295803,92.0000,3.21199254e-05,0.20
60,0.218573,56.5208,0.286599,92.0000,2.92893219e-05,0.20
61,0.174179,50.2292,0.281009,92.0000,2.65677491e-05,0.21
62,0.173490,59.2188,0.280481,92.0000,2.39594034e-05,0.21
63,0.181438,56.1771,0.284952,92.0000,2.14683069e-05,0.21
64,0.258743,56.8229,0.298254,92.0000,1.90983006e-05,0.21
65,0.152165,46.7708,0.275764,92.0000,1.68530388e-05,0.21
66,0.214307,57.0521,0.293650,92.0000,1.47359836e-05,0.20
67,0.206313,58.0000,0.286863,92.0000,1.27503993e-05,0.21
68,0.188067,54.6250,0.285787,92.0000,1.08993476e-05,0.20
69,0.156873,54.0417,0.279095,92.0000,9.18568262e-06,0.21
70,0.224756,56.3021,0.285180,92.0000,7.61204675e-06,0.20
71,0.297152,53.4688,0.283333,92.0000,6.18086641e-06,0.20
72,0.230969,52.8125,0.286210,92.0000,4.89434837e-06,0.22
73,0.175442,52.0729,0.286664,92.0000,3.75447635e-06,0.21
74,0.150062,59.4063,0.282516,92.0000,2.76300796e-06,0.21
75,0.155903,52.4271,0.282644,92.0000,1.92147196e-06,0.21
76,0.171487,49.8229,0.282100,92.0000,1.23116594e-06,0.23
77,0.247714,52.0104,0.282408,92.0000,6.93154305e-07,0.27
78,0.284118,66.1146,0.283400,92.0000,3.08266627e-07,0.26
79,0.166781,62.7812,0.284046,92.0000,7.70963759e-08,0.22
80,0.197055,51.4688,0.283942,92.0000,0.00000000e+00,0.21
