epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,2.167499,19.7500,1.753808,62.0000,1.99922904e-04,0.24
2,1.718695,39.6250,1.337391,70.0000,1.99691733e-04,0.02
3,1.291911,34.8750,0.914696,81.0000,1.99306846e-04,0.03
4,1.134183,65.3750,0.774519,79.0000,1.98768834e-04,0.02
5,0.911267,59.1250,0.652658,85.0000,1.98078528e-04,0.02
6,0.768686,52.3750,0.567875,85.0000,1.97236992e-04,0.04
7,1.288905,58.7500,0.534451,86.0000,1.96245524e-04,0.03
8,0.789480,52.8750,0.511455,87.0000,1.95105652e-04,0.05
9,0.727929,39.3750,0.493036,88.0000,1.93819134e-04,0.08
10,0.682800,62.7500,0.453010,89.0000,1.92387953e-04,0.09
11,0.744479,53.7500,0.475377,88.0000,1.90814317e-04,0.06
12,0.750205,60.5000,0.458246,88.0000,1.89100652e-04,0.05
13,0.582300,37.5000,0.435400,88.0000,1.87249601e-04,0.03
14,0.545014,66.3750,0.436147,89.0000,1.85264016e-04,0.02
15,0.776285,40.7500,0.415394,89.0000,1.83146961e-04,0.02
16,0.657991,31.6250,0.428437,89.0000,1.80901699e-04,0.02
17,0.785736,52.8750,0.443983,89.0000,1.78531693e-04,0.02
18,0.512233,36.8750,0.415438,89.0000,1.76040597e-04,0.02
19,0.740492,49.5000,0.393242,91.0000,1.73432251e-04,0.02
20,0.518620,27.3750,0.400331,89.0000,1.70710678e-04,0.02
21,0.479254,23.8750,0.366588,89.0000,1.67880075e-04,0.03
22,0.759607,36.5000,0.396284,89.0000,1.64944805e-04,0.02
23,0.581348,82.5000,0.389681,91.0000,1.61909395e-04,0.02
24,0.645571,81.5000,0.378495,90.0000,1.58778525e-04,0.02
25,0.630079,68.5000,0.407968,90.0000,1.55557023e-04,0.02
26,0.486286,51.5000,0.375706,91.0000,1.52249856e-04,0.02
27,0.650420,85.0000,0.405566,90.0000,1.48862124e-04,0.03
28,0.681374,30.3750,0.353297,89.0000,1.45399050e-04,0.03
29,0.556195,38.5000,0.410150,90.0000,1.41865974e-04,0.02
30,0.449852,66.1250,0.342345,90.0000,1.38268343e-04,0.02
31,0.732403,39.5000,0.358828,90.0000,1.34611706e-04,0.02
32,0.678880,26.8750,0.359791,90.0000,1.30901699e-04,0.02
33,0.561340,28.8750,0.348467,90.0000,1.27144045e-04,0.03
34,0.627142,42.7500,0.378176,91.0000,1.23344536e-04,0.02
35,0.455224,24.8750,0.343026,90.0000,1.19509032e-04,0.02
36,0.536759,80.5000,0.372544,89.0000,1.15643447e-04,0.03
37,0.415062,53.7500,0.339742,91.0000,1.11753740e-04,0.02
38,0.668596,38.2500,0.355971,90.0000,1.07845910e-04,0.02
39,0.507400,42.0000,0.354433,91.0000,1.03925982e-04,0.02
40,0.529810,51.1250,0.335318,90.0000,1.00000000e-04,0.03
41,0.625693,64.6250,0.358259,91.0000,9.60740184e-05,0.02
42,0.497892,13.3750,0.352665,91.0000,9.21540904e-05,0.03
43,0.598860,52.8750,0.337499,90.0000,8.82462603e-05,0.02
44,0.548213,40.2500,0.359656,91.0000,8.43565535e-05,0.02
45,0.547244,61.3750,0.343605,90.0000,8.04909678e-05,0.02
46,0.631660,45.3750,0.332864,90.0000,7.66554636e-05,0.02
47,0.595699,40.7500,0.344870,91.0000,7.28559550e-05,0.02
48,0.604309,40.8750,0.334445,89.0000,6.90983006e-05,0.03
49,0.733914,53.7500,0.347749,92.0000,6.53882943e-05,0.02
50,0.514730,52.6250,0.346247,91.0000,6.17316568e-05,0.02
51,0.482957,52.5000,0.342491,90.0000,5.81340262e-05,0.02
52,0.470141,67.6250,0.332762,92.0000,5.46009500e-05,0.02
53,0.504461,81.8750,0.337175,91.0000,5.11378759e-05,0.02
54,0.440646,29.3750,0.332839,90.0000,4.77501435e-05,0.02
55,0.628034,52.3750,0.337046,92.0000,4.44429767e-05,0.02
56,0.565268,41.7500,0.329955,92.0000,4.12214748e-05,0.02
57,0.496680,55.8750,0.332560,91.0000,3.80906051e-05,0.02
58,0.492963,66.5000,0.331345,90.0000,3.50551952e-05,0.02
59,0.604267,53.5000,0.340765,91.0000,3.21199254e-05,0.02
60,0.514137,61.6250,0.330339,91.0000,2.92893219e-05,0.02
61,0.406455,28.2500,0.322396,91.0000,2.65677491e-05,0.02
62,0.491386,95.8750,0.339503,92.0000,2.39594034e-05,0.02
63,0.510354,84.2500,0.338847,92.0000,2.14683069e-05,0.02
64,0.385285,57.1250,0.334927,92.0000,1.90983006e-05,0.02
65,0.642298,81.7500,0.330030,92.0000,1.68530388e-05,0.02
66,0.509223,63.0000,0.325758,90.0000,1.47359836e-05,0.02
67,0.738629,69.3750,0.331150,91.0000,1.27503993e-05,0.02
68,0.528896,68.0000,0.334755,92.0000,1.08993476e-05,0.02
69,0.854468,41.6250,0.335879,92.0000,9.18568262e-06,0.03
70,0.392504,43.6250,0.335359,92.0000,7.61204675e-06,0.02
71,0.507203,71.0000,0.334799,92.0000,6.18086641e-06,0.03
72,0.381473,40.1250,0.333648,92.0000,4.89434837e-06,0.02
73,0.521593,39.8750,0.331982,92.0000,3.75447635e-06,0.02
74,0.403647,71.1250,0.330419,92.0000,2.76300796e-06,0.02
75,0.633062,84.8750,0.329886,91.0000,1.92147196e-06,0.02
76,0.522606,69.1250,0.329849,92.0000,1.23116594e-06,0.02
77,0.527399,27.6250,0.329987,92.0000,6.93154305e-07,0.02
78,0.485266,39.5000,0.330304,92.0000,3.08266627e-07,0.02
79,0.566895,55.5000,0.330385,92.0000,7.70963759e-08,0.02
80,0.578542,10.2500,0.330410,92.0000,0.00000000e+00,0.02
